Nat,Pokemon,Generation,HP,Atk,Def,SpA,SpD,Spe,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,EV Worth,Gender,Egg Group I,Egg Group II,Catch,Evolve
1,Bulbasaur,I,45,49,49,65,65,45,318,Grass,Poison,Overgrow,,Chlorophyll,1 SpA,M (87.5%),Monster,Grass,45,
2,Ivysaur,I,60,62,63,80,80,60,405,Grass,Poison,Overgrow,,Chlorophyll,1 SpA/1 SpD,M (87.5%),Monster,Grass,45,Lv. 16
3,Venusaur,I,80,82,83,100,100,80,525,Grass,Poison,Overgrow,,Chlorophyll,2 SpA/1 SpD,M (87.5%),Monster,Grass,45,Lv. 32
4,Charmander,I,39,52,43,60,50,65,309,Fire,,Blaze,,Solar Power,1 Spe,M (87.5%),Monster,Dragon,45,
5,Charmeleon,I,58,64,58,80,65,80,405,Fire,,Blaze,,Solar Power,1 SpA/1 Spe,M (87.5%),Monster,Dragon,45,Lv. 16
6,Charizard,I,78,84,78,109,85,100,534,Fire,Flying,Blaze,,Solar Power,3 SpA,M (87.5%),Monster,Dragon,45,Lv. 36
7,Squirtle,I,44,48,65,50,64,43,314,Water,,Torrent,,Rain Dish,1 Def,M (87.5%),Monster,Water 1,45,
8,Wartortle,I,59,63,80,65,80,58,405,Water,,Torrent,,Rain Dish,1 Def/1 SpD,M (87.5%),Monster,Water 1,45,Lv. 16
9,Blastoise,I,79,83,100,85,105,78,530,Water,,Torrent,,Rain Dish,3 SpD,M (87.5%),Monster,Water 1,45,Lv. 36
10,Caterpie,I,45,30,35,20,20,45,195,Bug,,Shield Dust,,Run Away,1 HP,Neutral,Bug,,255,
11,Metapod,I,50,20,55,25,25,30,205,Bug,,Shed Skin,,,1 Def,Neutral,Bug,,120,Lv. 7
12,Butterfree,I,60,45,50,90,80,70,395,Bug,Flying,Compoundeyes,,Tinted Lens,2 SpA/1 SpD,Neutral,Bug,,45,Lv. 10
13,Weedle,I,40,35,30,20,20,50,195,Bug,Poison,Shield Dust,,Run Away,1 Spe,Neutral,Bug,,255,
14,Kakuna,I,45,25,50,25,25,35,205,Bug,Poison,Shed Skin,,,2 Def,Neutral,Bug,,120,Lv. 7
15,Beedrill,I,65,90,40,45,80,75,395,Bug,Poison,Swarm,,Sniper,2 Atk/1 SpD,Neutral,Bug,,45,Lv. 10
16,Pidgey,I,40,45,40,35,35,56,251,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,1 Spe,Neutral,Flying,,255,
17,Pidgeotto,I,63,60,55,50,50,71,349,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,2 Spe,Neutral,Flying,,120,Lv. 18
18,Pidgeot,I,83,80,75,70,70,101,479,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,3 Spe,Neutral,Flying,,45,Lv. 36
19,Rattata,I,30,56,35,25,35,72,253,Normal,,Run Away,Guts,Hustle,1 Spe,Neutral,Field,,255,
20,Raticate,I,55,81,60,50,70,97,413,Normal,,Run Away,Guts,Hustle,2 Spe,Neutral,Field,,127,Lv. 20
21,Spearow,I,40,60,30,31,31,70,262,Normal,Flying,Keen Eye,,Sniper,1 Spe,Neutral,Flying,,255,
22,Fearow,I,65,90,65,61,61,100,442,Normal,Flying,Keen Eye,,Sniper,2 Spe,Neutral,Flying,,90,Lv. 20
23,Ekans,I,35,60,44,40,54,55,288,Poison,,Intimidate,Shed Skin,Unnerve,1 Atk,Neutral,Field,Dragon,255,
24,Arbok,I,60,95,69,65,79,80,448,Poison,,Intimidate,Shed Skin,Unnerve,2 Atk,Neutral,Field,Dragon,90,Lv. 22
25,Pikachu,I,35,55,40,50,50,90,320,Electric,,Static,,Lightningrod,2 Spe,Neutral,Field,Fairy,190,Friendship
26,Raichu,I,60,90,55,90,80,110,485,Electric,,Static,,Lightningrod,3 Spe,Neutral,Field,Fairy,75,Thunderstone
27,Sandshrew,I,50,75,85,20,30,40,300,Ground,,Sand Veil,,Sand Rush,1 Def,Neutral,Field,,255,
28,Sandslash,I,75,100,110,45,55,65,450,Ground,,Sand Veil,,Sand Rush,2 Def,Neutral,Field,,90,Lv. 22
29,Nidoran ♀,I,55,47,52,40,40,41,275,Poison,,Poison Point,Rivalry,Hustle,1 HP,F (100%),Monster,Field,235,
30,Nidorina,I,70,62,67,55,55,56,365,Poison,,Poison Point,Rivalry,Hustle,2 HP,F (100%),-,,120,Lv. 16
31,Nidoqueen,I,90,92,87,75,85,76,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,3 HP,F (100%),-,,45,Moon Stone
32,Nidoran ♂,I,46,57,40,40,40,50,273,Poison,,Poison Point,Rivalry,Hustle,1 Atk,M (100%),Monster,Field,235,
33,Nidorino,I,61,72,57,55,55,65,365,Poison,,Poison Point,Rivalry,Hustle,2 Atk,M (100%),Monster,Field,120,Lv. 16
34,Nidoking,I,81,102,77,85,75,85,505,Poison,Ground,Poison Point,Rivalry,Sheer Force,3 Atk,M (100%),Monster,Field,45,Moon Stone
35,Clefairy,I,70,45,48,60,65,35,323,Fairy,,Cute Charm,Magic Guard,Friend Guard,2 HP,F (75%),Fairy,,150,Friendship
36,Clefable,I,95,70,73,95,90,60,483,Fairy,,Cute Charm,Magic Guard,Unaware,3 HP,F (75%),Fairy,,25,Moon Stone
37,Vulpix,I,38,41,40,50,65,65,299,Fire,,Flash Fire,,Drought,1 Spe,F (75%),Field,,190,
38,Ninetales,I,73,76,75,81,100,100,505,Fire,,Flash Fire,,Drought,1 SpD/1 Spe,F (75%),Field,,75,Fire Stone
39,Jigglypuff,I,115,45,20,45,25,20,270,Normal,Fairy,Cute Charm,,Friend Guard,2 HP,F (75%),Fairy,,170,Friendship
40,Wigglytuff,I,140,70,45,85,50,45,435,Normal,Fairy,Cute Charm,,Frisk,3 HP,F (75%),Fairy,,50,Moon Stone
41,Zubat,I,40,45,35,30,40,55,245,Poison,Flying,Inner Focus,,Infiltrator,1 Spe,Neutral,Flying,,255,
42,Golbat,I,75,80,70,65,75,90,455,Poison,Flying,Inner Focus,,Infiltrator,2 Spe,Neutral,Flying,,90,Lv. 22
43,Oddish,I,45,50,55,75,65,30,320,Grass,Poison,Chlorophyll,,Run Away,1 SpA,Neutral,Grass,,255,
44,Gloom,I,60,65,70,85,75,40,395,Grass,Poison,Chlorophyll,,Stench,2 SpA/1 SpD,Neutral,Grass,,120,Lv. 22
45,Vileplume,I,75,80,85,110,90,50,490,Grass,Poison,Chlorophyll,,Effect Spore,3 SpA,Neutral,Grass,,45,Leaf Stone
46,Paras,I,35,70,55,45,55,25,285,Bug,Grass,Effect Spore,Dry Skin,Damp,1 Atk,Neutral,Bug,Grass,190,
47,Parasect,I,60,95,80,60,80,30,405,Bug,Grass,Effect Spore,Dry Skin,Damp,2 Atk/1 Def,Neutral,Bug,Grass,75,Lv. 24
48,Venonat,I,60,55,50,40,55,45,305,Bug,Poison,Compoundeyes,Tinted Lens,Run Away,1 SpD,Neutral,Bug,,190,
49,Venomoth,I,70,65,60,90,75,90,450,Bug,Poison,Shield Dust,Tinted Lens,Wonderskin,1 SpA/1 Spe,Neutral,Bug,,75,Lv. 31
50,Diglett,I,10,55,25,35,45,95,265,Ground,,Sand Veil,Arena Trap,Sand Force,1 Spe,Neutral,Field,,255,
51,Dugtrio,I,35,100,50,50,70,120,425,Ground,,Sand Veil,Arena Trap,Sand Force,2 Spe,Neutral,Field,,50,Lv. 26
52,Meowth,I,40,45,35,40,40,90,290,Normal,,Pickup,Technician,Unnerve,1 Spe,Neutral,Field,,255,
53,Persian,I,65,70,60,65,65,115,440,Normal,,Limber,Technician,Unnerve,2 Spe,Neutral,Field,,90,Lv. 28
54,Psyduck,I,50,52,48,65,50,55,320,Water,,Damp,Cloud Nine,Swift Swim,1 SpA,Neutral,Water 1,Field,190,
55,Golduck,I,80,82,78,95,80,85,500,Water,,Damp,Cloud Nine,Swift Swim,2 SpA,Neutral,Water 1,Field,75,Lv. 33
56,Mankey,I,40,80,35,35,45,70,305,Fighting,,Vital Spirit,Anger Point,Defiant,1 Atk,Neutral,Field,,190,
57,Primeape,I,65,105,60,60,70,95,455,Fighting,,Vital Spirit,Anger Point,Defiant,2 Atk,Neutral,Field,,75,Lv. 28
58,Growlithe,I,55,70,45,70,50,60,350,Fire,,Intimidate,Flash Fire,Justified,1 Atk,M (75%),Field,,190,
59,Arcanine,I,90,110,80,100,80,95,555,Fire,,Intimidate,Flash Fire,Justified,2 Atk,M (75%),Field,,75,Fire Stone
60,Poliwag,I,40,50,40,40,40,90,300,Water,,Water Absorb,Damp,Swift Swim,1 Spe,Neutral,Water 1,,255,
61,Poliwhirl,I,65,65,65,50,50,90,385,Water,,Water Absorb,Damp,Swift Swim,2 Spe,Neutral,Water 1,,120,Lv. 25
62,Poliwrath,I,90,95,95,70,90,70,510,Water,Fighting,Water Absorb,Damp,Swift Swim,3 Def,Neutral,Water 1,,45,Water Stone
63,Abra,I,25,20,15,105,55,90,310,Psychic,,Synchronize,Inner Focus,Magic Guard,1 SpA,M (75%),Human-Like,,200,
64,Kadabra,I,40,35,30,120,70,105,400,Psychic,,Synchronize,Inner Focus,Magic Guard,2 SpA,M (75%),Human-Like,,100,Lv. 16
65,Alakazam,I,55,50,45,135,95,120,500,Psychic,,Synchronize,Inner Focus,Magic Guard,3 SpA,M (75%),Human-Like,,50,Trade
66,Machop,I,70,80,50,35,35,35,305,Fighting,,Guts,No Guard,Steadfast,1 Atk,M (75%),Human-Like,,180,
67,Machoke,I,80,100,70,50,60,45,405,Fighting,,Guts,No Guard,Steadfast,2 Atk,M (75%),Human-Like,,90,Lv. 28
